"No","Phrase","ID","Title","URL","Name","PhraseYes","Contrast","Referent","ReferentCategory","Quantity","QuantType","HandsVisible","HandsMoving","HandsOccupied","WhichHand","HandShape","PinchType","PinkieCurl","PalmOrientation","MovementComplexity","MovementDirection","Comment"
235,"tiny_number","CSPAN_20150130_120000_Washington_Journal","Washington Journal : CSPAN : January 30, 2015 7:00am-10:01am EST","http://archive.org/download/CSPAN_20150130_120000_Washington_Journal/CSPAN_20150130_120000_Washington_Journal.mp4?t=5397/5427&ignore=x.mp4","robert scott","yes","no","exports","financial","NA","NA","yes","yes","no","right","pinch","lobster_claw","yes","NA",NA,NA,NA
239,"tiny_number","WJLA_20090825_110000_ABC_News_Good_Morning_America","ABC News Good Morning America : WJLA : August 25, 2009 7:00am-9:00am EDT","http://archive.org/download/WJLA_20090825_110000_ABC_News_Good_Morning_America/WJLA_20090825_110000_ABC_News_Good_Morning_America.mp4?t=4245/4275&ignore=x.mp4","sharon alfonsi","yes","no","serial numbers","other","NA","NA","yes","yes","no","right","pinch","precision_grip","yes","NA",NA,NA,"literal"
245,"tiny_number","CSPAN_20101115_150000_Today_in_Washington","Today in Washington : CSPAN : November 15, 2010 10:00am-12:00pm EST","http://archive.org/download/CSPAN_20101115_150000_Today_in_Washington/CSPAN_20101115_150000_Today_in_Washington.mp4?t=4699/4729&ignore=x.mp4","john harwood","yes","no","people","people","NA","NA","yes","yes","left","left","pinch","lobster_claw","yes","NA",NA,NA,NA
247,"tiny_number","CSPAN_20110718_140000_Today_in_Washington","Today in Washington : CSPAN : July 18, 2011 10:00am-12:00pm EDT","http://archive.org/download/CSPAN_20110718_140000_Today_in_Washington/CSPAN_20110718_140000_Today_in_Washington.mp4?t=2122/2152&ignore=x.mp4","norman ornstein","yes","yes","people","people","6000","reference","yes","yes","left","both","pinch","precision_grip","no","down",NA,NA,"discuss; notice palm orientation"
249,"tiny_number","WUSA_20101020_110000_The_Early_Show","The Early Show : WUSA : October 20, 2010 6:00am-8:00am EST","http://archive.org/download/WUSA_20101020_110000_The_Early_Show/WUSA_20101020_110000_The_Early_Show.mp4?t=2541/2571&ignore=x.mp4","harry smith","yes","yes","deaths ","life/death","1e-04","proportion","yes","yes","both","right","pinch","lobster_claw","yes","NA",NA,NA,"discuss; notice palm orientation; she also picks up the tiny gesture"
253,"tiny_number","MSNBCW_20121229_130000_Up_W_Chris_Hayes","Up W/Chris Hayes : MSNBCW : December 29, 2012 5:00am-7:00am PST","http://archive.org/download/MSNBCW_20121229_130000_Up_W_Chris_Hayes/MSNBCW_20121229_130000_Up_W_Chris_Hayes.mp4?t=1040/1070&ignore=x.mp4","richard wolff","yes","no","people sitting on top corporations","people","NA","NA","yes","yes","no","right","pinch","grappolo","NA","NA",NA,NA,NA
256,"tiny_number","CSPAN2_20130602_001500_Book_TV","Book TV : CSPAN2 : June 1, 2013 8:15pm-10:01pm EDT","http://archive.org/download/CSPAN2_20130602_001500_Book_TV/CSPAN2_20130602_001500_Book_TV.mp4?t=2632/2662&ignore=x.mp4","jaron lanier","yes","no","people","people","NA","NA","yes","yes","yes","right","pinch","grappolo","NA","NA",NA,NA,"discuss"
262,"tiny_number","CSPAN2_20131119_040000_Key_Capitol_Hill_Hearings","Key Capitol Hill Hearings : CSPAN2 : November 18, 2013 11:00pm-1:01am EST","http://archive.org/download/CSPAN2_20131119_040000_Key_Capitol_Hill_Hearings/CSPAN2_20131119_040000_Key_Capitol_Hill_Hearings.mp4?t=2485/2515&ignore=x.mp4","brad wiegmann","yes","no","internet users","people","10000","reference","yes","yes","no","right","pinch","precision_grip","yes","NA",NA,NA,NA
265,"tiny_number","CSPAN2_20140203_173000_Key_Capitol_Hill_Hearings","Key Capitol Hill Hearings : CSPAN2 : February 3, 2014 12:30pm-2:01pm EST","http://archive.org/download/CSPAN2_20140203_173000_Key_Capitol_Hill_Hearings/CSPAN2_20140203_173000_Key_Capitol_Hill_Hearings.mp4?t=1855/1885&ignore=x.mp4","matthew rojansky","yes","no","people who travel","people","NA","NA","yes","yes","no","right","pinch","lobster_claw","yes","NA",NA,NA,"CHECK; left movement is perhaps because of \"to the West\""
268,"tiny_number","BLOOMBERG_20140410_080000_The_Pulse","The Pulse : BLOOMBERG : April 10, 2014 4:00am-6:01am EDT","http://archive.org/download/BLOOMBERG_20140410_080000_The_Pulse/BLOOMBERG_20140410_080000_The_Pulse.mp4?t=4078/4108&ignore=x.mp4","NA","yes","no","sales","financial","0.1","percent","yes","yes","no","both","open","NA","NA","inward",NA,NA,"discuss; \"two quarters\""
274,"tiny_number","CSPAN_20150216_203000_Lawrence_Lessig_on_Campaign_Finance","Lawrence Lessig on Campaign Finance : CSPAN : February 16, 2015 3:30pm-5:01pm EST","http://archive.org/download/CSPAN_20150216_203000_Lawrence_Lessig_on_Campaign_Finance/CSPAN_20150216_203000_Lawrence_Lessig_on_Campaign_Finance.mp4?t=1748/1778&ignore=x.mp4","lawrence lessing","yes","no","funders","people","NA","NA","yes","yes","no","right","pinch","precision_grip","yes","NA",NA,NA,"discuss; another tiny number, probably split up eventually"
279,"tiny_number","CSPAN_20150327_030000_Key_Capitol_Hill_Hearings","Key Capitol Hill Hearings : CSPAN : March 26, 2015 11:00pm-1:01am EDT","http://archive.org/download/CSPAN_20150327_030000_Key_Capitol_Hill_Hearings/CSPAN_20150327_030000_Key_Capitol_Hill_Hearings.mp4?t=5200/5230&ignore=x.mp4","barack obama","yes","no","americans","people","0.001","percent","yes","yes","no","right","pinch","precision_grip","no","NA",NA,NA,NA
291,"tiny_number","MSNBCW_20120628_100000_Morning_Joe","Morning Joe : MSNBCW : June 28, 2012 3:00am-6:00am PDT","http://archive.org/download/MSNBCW_20120628_100000_Morning_Joe/MSNBCW_20120628_100000_Morning_Joe.mp4?t=9958/9988&ignore=x.mp4","jj ramberg","yes","no","people","people","NA","NA","yes","yes","no","both","open","NA","NA","up",NA,NA,"contractd"
294,"tiny_number","CNN_20090709_200000_The_Situation_Room_With_Wolf_Blitzer","The Situation Room With Wolf Blitzer : CNN : July 9, 2009 4:00pm-6:38pm EDT","http://archive.org/download/CNN_20090709_200000_The_Situation_Room_With_Wolf_Blitzer/CNN_20090709_200000_The_Situation_Room_With_Wolf_Blitzer.mp4?t=5791/5821&ignore=x.mp4","wolf blitzer","yes","no","members of the congretional leadership ","people","NA","NA","yes","yes","right","right","pinch","precision_grip","CHECK","NA",NA,NA,NA
301,"tiny_number","CSPAN2_20100505_130000_U.S._Senate","U.S. Senate : CSPAN2 : May 5, 2010 9:00am-12:00pm EDT","http://archive.org/download/CSPAN2_20100505_130000_U.S._Senate/CSPAN2_20100505_130000_U.S._Senate.mp4?t=6955/6985&ignore=x.mp4","bob casey","yes","no","americans","people","NA","NA","yes","yes","no","right","pinch","lobster_claw","yes","NA",NA,NA,NA
307,"tiny_number","CSPAN2_20111206_013000_Tonight_From_Washington","Tonight From Washington : CSPAN2 : December 5, 2011 8:30pm-11:00pm EST","http://archive.org/download/CSPAN2_20111206_013000_Tonight_From_Washington/CSPAN2_20111206_013000_Tonight_From_Washington.mp4?t=3138/3168&ignore=x.mp4","jamelle bouie","yes","no","young undocumented immigrants with college degrees","people","76000","NA","yes","yes","right","right","open","NA","NA","down",NA,NA,"CHECK"
308,"tiny_number","CSPAN2_20111129_140000_U.S._Senate","U.S. Senate : CSPAN2 : November 29, 2011 9:00am-12:00pm EST","http://archive.org/download/CSPAN2_20111129_140000_U.S._Senate/CSPAN2_20111129_140000_U.S._Senate.mp4?t=5214/5244&ignore=x.mp4","mark pryor","yes","no","people","people","NA","NA","yes","yes","no","both","pinch","grappolo","NA","NA",NA,NA,NA
311,"tiny_number","CSPAN_20100505_030000_Capital_News_Today","Capital News Today : CSPAN : May 4, 2010 11:00pm-2:00am EDT","http://archive.org/download/CSPAN_20100505_030000_Capital_News_Today/CSPAN_20100505_030000_Capital_News_Today.mp4?t=6571/6601&ignore=x.mp4","timothy geithner","yes","yes","banks ","companies","NA","NA","yes","yes","no","left","pinch","precision_grip","yes","NA",NA,NA,NA
314,"tiny_number","CSPAN_20110118_120000_Washington_Journal","Washington Journal : CSPAN : January 18, 2011 7:00am-9:59am EST","http://archive.org/download/CSPAN_20110118_120000_Washington_Journal/CSPAN_20110118_120000_Washington_Journal.mp4?t=6879/6909&ignore=x.mp4","ramesh ponnuru","yes","no","federal budget","financial","NA","NA","yes","yes","no","both","open","NA","NA","inward",NA,NA,NA
318,"tiny_number","CSPAN_20110310_010000_Tonight_From_Washington","Tonight From Washington : CSPAN : March 9, 2011 8:00pm-11:00pm EST","http://archive.org/download/CSPAN_20110310_010000_Tonight_From_Washington/CSPAN_20110310_010000_Tonight_From_Washington.mp4?t=2923/2953&ignore=x.mp4","nihad awad","yes","no","american-muslims","people","NA","NA","yes","yes","no","left","pinch","precision_grip","yes","NA",NA,NA,NA
330,"tiny_number","FOXNEWSW_20111107_160000_Happening_Now","Happening Now : FOXNEWSW : November 7, 2011 8:00am-10:00am PST","http://archive.org/download/FOXNEWSW_20111107_160000_Happening_Now/FOXNEWSW_20111107_160000_Happening_Now.mp4?t=2473/2503&ignore=x.mp4","jon scott","yes","no","bank customers","people","80000","NA","yes","yes","no","right","pinch","precision_grip","yes","NA",NA,NA,NA
331,"tiny_number","FOXNEWS_20110602_130000_Americas_Newsroom","America's Newsroom : FOXNEWS : June 2, 2011 9:00am-11:00am EDT","http://archive.org/download/FOXNEWS_20110602_130000_Americas_Newsroom/FOXNEWS_20110602_130000_Americas_Newsroom.mp4?t=5113/5143&ignore=x.mp4","marc siegel","yes","no","ecoli toxin","other","NA","NA","yes","yes","no","both","pinch","precision_grip","yes","NA",NA,NA,"one is curled in, the other one is not"
333,"tiny_number","MSNBCW_20121006_120000_Up_W_Chris_Hayes","Up W/Chris Hayes : MSNBCW : October 6, 2012 5:00am-7:00am PDT","http://archive.org/download/MSNBCW_20121006_120000_Up_W_Chris_Hayes/MSNBCW_20121006_120000_Up_W_Chris_Hayes.mp4?t=3799/3829&ignore=x.mp4","avik roy","yes","no","carried interest","financial","1.5e+10","NA","yes","yes","no","both","open","NA","NA","inward",NA,NA,"CHECK"
348,"tiny_number","MSNBCW_20141013_100000_Morning_Joe","Morning Joe : MSNBCW : October 13, 2014 3:00am-6:01am PDT","http://archive.org/download/MSNBCW_20141013_100000_Morning_Joe/MSNBCW_20141013_100000_Morning_Joe.mp4?t=8993/9023&ignore=x.mp4","nicholas kristof","yes","yes","people die of ebola in U.S.","people","NA","NA","yes","yes","no","left","open","NA","NA","up",NA,NA,"builds up a contrast on the left-right axis"
354,"tiny_number","CNBC_20150219_110000_Squawk_Box","Squawk Box : CNBC : February 19, 2015 6:00am-9:01am EST","http://archive.org/download/CNBC_20150219_110000_Squawk_Box/CNBC_20150219_110000_Squawk_Box.mp4?t=615/645&ignore=x.mp4","john harwood","yes","no","people","people","NA","NA","yes","yes","no","both","open","NA","NA","inward",NA,NA,NA
358,"tiny_number","CSPAN_20150402_190000_British_Election_Party_Leaders_Debate","British Election Party Leaders' Debate : CSPAN : April 2, 2015 3:00pm-5:01pm EDT","http://archive.org/download/CSPAN_20150402_190000_British_Election_Party_Leaders_Debate/CSPAN_20150402_190000_British_Election_Party_Leaders_Debate.mp4?t=829/859&ignore=x.mp4","nigel farage","yes","no","people benefited ","people","NA","NA","yes","yes","no","right","pinch","NA","NA","NA",NA,NA,NA
364,"tiny_number","CSPAN2_20141123_161500_2014_Miami_Book_Fair_International_Sunday","2014 Miami Book Fair International, Sunday : CSPAN2 : November 23, 2014 11:15am-5:31pm EST","http://archive.org/download/CSPAN2_20141123_161500_2014_Miami_Book_Fair_International_Sunday/CSPAN2_20141123_161500_2014_Miami_Book_Fair_International_Sunday.mp4?t=8155/8185&ignore=x.mp4","matt bai","yes","no","viewer, voters","people","NA","NA","yes","yes","no","right","pinch","lobster_claw","yes","NA",NA,NA,NA
370,"tiny_number","CSPAN2_20111222_140000_U.S._Senate","U.S. Senate : CSPAN2 : December 22, 2011 9:00am-12:00pm EST","http://archive.org/download/CSPAN2_20111222_140000_U.S._Senate/CSPAN2_20111222_140000_U.S._Senate.mp4?t=6546/6576&ignore=x.mp4","robert lerman","yes","no","people","people","NA","NA","yes","yes","no","both","pinch","precision_grip","yes","NA",NA,NA,"CHECK; two different handshapes"
376,"tiny_number","CSPAN_20120725_140000_U.S._House_of_Representatives","U.S. House of Representatives : CSPAN : July 25, 2012 10:00am-1:00pm EDT","http://archive.org/download/CSPAN_20120725_140000_U.S._House_of_Representatives/CSPAN_20120725_140000_U.S._House_of_Representatives.mp4?t=9186/9216&ignore=x.mp4","keith ellison","yes","no","cases","other","NA","NA","yes","yes","no","left","open","NA","NA","down",NA,NA,"CHECK; does a pinch before; discuss"
378,"tiny_number","CNN_20121108_210000_The_Situation_Room","The Situation Room : CNN : November 8, 2012 4:00pm-7:00pm EST","http://archive.org/download/CNN_20121108_210000_The_Situation_Room/CNN_20121108_210000_The_Situation_Room.mp4?t=2426/2456&ignore=x.mp4","ross douthat","yes","no","african american voters","people","8.5","percent","yes","yes","no","both","open","NA","NA","inward",NA,NA,"CHECK"
380,"tiny_number","CNBC_20121224_140000_Squawk_on_the_Street","Squawk on the Street : CNBC : December 24, 2012 9:00am-12:00pm EST","http://archive.org/download/CNBC_20121224_140000_Squawk_on_the_Street/CNBC_20121224_140000_Squawk_on_the_Street.mp4?t=2330/2360&ignore=x.mp4","bob pisani","yes","yes","bond mutual funds","financial","3.8e+12","NA","yes","yes","right","right","pinch","precision_grip","yes","NA",NA,NA,NA
383,"tiny_number","MSNBCW_20131024_100000_Morning_Joe","Morning Joe : MSNBCW : October 24, 2013 3:00am-6:01am PDT","http://archive.org/download/MSNBCW_20131024_100000_Morning_Joe/MSNBCW_20131024_100000_Morning_Joe.mp4?t=9683/9713&ignore=x.mp4","alison wolf","yes","no","graduate professionals who stay at home","people","NA","NA","yes","yes","no","right","pinch","precision_grip","yes","NA",NA,NA,NA
384,"tiny_number","CNBC_20131220_110000_Squawk_Box","Squawk Box : CNBC : December 20, 2013 6:00am-9:01am EST","http://archive.org/download/CNBC_20131220_110000_Squawk_Box/CNBC_20131220_110000_Squawk_Box.mp4?t=6046/6076&ignore=x.mp4","jonathan bush","yes","no","hedge funds","financial","NA","NA","yes","yes","no","both","open","NA","NA","inward",NA,NA,"CHECK"
389,"tiny_number","MSNBCW_20150130_110000_Morning_Joe","Morning Joe : MSNBCW : January 30, 2015 3:00am-6:01am PST","http://archive.org/download/MSNBCW_20150130_110000_Morning_Joe/MSNBCW_20150130_110000_Morning_Joe.mp4?t=4495/4525&ignore=x.mp4","hallie jackson","yes","no","people with measels","people","7","NA","yes","yes","no","both","open","NA","NA","inward",NA,NA,NA
394,"tiny_number","CSPAN_20110121_180000_U.S._House_of_Representatives","U.S. House of Representatives : CSPAN : January 21, 2011 1:00pm-6:30pm EST","http://archive.org/download/CSPAN_20110121_180000_U.S._House_of_Representatives/CSPAN_20110121_180000_U.S._House_of_Representatives.mp4?t=18855/18885&ignore=x.mp4","michael beschloss","yes","no","lawyers","people","NA","NA","yes","yes","no","right","open","NA","NA","down",NA,NA,NA
397,"tiny_number","CSPAN2_20121226_170000_U.S._Senate","U.S. Senate : CSPAN2 : December 26, 2012 12:00pm-5:00pm EST","http://archive.org/download/CSPAN2_20121226_170000_U.S._Senate/CSPAN2_20121226_170000_U.S._Senate.mp4?t=5461/5491&ignore=x.mp4","nina perales","yes","no","registered undocumented voters ","people","20","NA","yes","yes","no","right","pinch","precision_grip","yes","NA",NA,NA,"temporally aligned before"
398,"tiny_number","MSNBCW_20141226_130000_MSNBC_Live","MSNBC Live : MSNBCW : December 26, 2014 5:00am-1:01pm PST","http://archive.org/download/MSNBCW_20141226_130000_MSNBC_Live/MSNBCW_20141226_130000_MSNBC_Live.mp4?t=25609/25639&ignore=x.mp4","barry mccaffrey","yes","no","troops in Iraq","people","3000","NA","yes","yes","right","right","open","NA","NA","CHECK",NA,NA,NA
400,"tiny_number","CSPAN_20130120_080000_News_Politics_and_Public_Affairs","News Politics and Public Affairs : CSPAN : January 20, 2013 3:00am-6:00am EST","http://archive.org/download/CSPAN_20130120_080000_News_Politics_and_Public_Affairs/CSPAN_20130120_080000_News_Politics_and_Public_Affairs.mp4?t=7224/7254&ignore=x.mp4","rhona mahony","yes","no","women committing suicide during pregnancy ","people","NA","NA","yes","yes","left","left","pinch","grappolo","NA","NA",NA,NA,NA
403,"tiny_number","CSPAN2_20120610_040000_Book_TV","Book TV : CSPAN2 : June 10, 2012 12:00am-6:59am EDT","http://archive.org/download/CSPAN2_20120610_040000_Book_TV/CSPAN2_20120610_040000_Book_TV.mp4?t=2119/2149&ignore=x.mp4","joe allen","yes","no","black veterans","people","NA","NA","yes","yes","no","right","pinch","precision_grip","yes","NA",NA,NA,NA
3422,"huge_number","KPIX_20120413_140000_CBS_This_Morning","CBS This Morning : KPIX : April 13, 2012 7:00am-9:00am PDT","http://archive.org/download/KPIX_20120413_140000_CBS_This_Morning/KPIX_20120413_140000_CBS_This_Morning.mp4?t=5719/5749&ignore=x.mp4","mo rocca","yes","no","people","people","NA","NA","yes","yes","not_coded","both","open",NA,NA,"down",NA,NA,"outward-expand"
6748,"huge_number","CSPAN2_20130419_160000_U.S._Senate","U.S. Senate : CSPAN2 : April 19, 2013 12:00pm-5:01pm EDT","http://archive.org/download/CSPAN2_20130419_160000_U.S._Senate/CSPAN2_20130419_160000_U.S._Senate.mp4?t=11153/11183&ignore=x.mp4","james clapper","yes","no","refugees ","people","NA","NA","yes","yes","not_coded","right","open",NA,NA,NA,NA,NA,"slightly-afterwards"
2657,"huge_number","CSPAN2_20140305_110000_Key_Capitol_Hill_Hearings","Key Capitol Hill Hearings : CSPAN2 : March 5, 2014 6:00am-8:01am EST","http://archive.org/download/CSPAN2_20140305_110000_Key_Capitol_Hill_Hearings/CSPAN2_20140305_110000_Key_Capitol_Hill_Hearings.mp4?t=4873/4903&ignore=x.mp4","kerry mccarthy","yes","no","food, people","people","NA","NA","yes","yes","not_coded","both","open",NA,NA,"inwards",NA,NA,"outward-expand"
482,"huge_number","SFGTV_20111212_063000","SFGTV : December 11, 2011 10:30pm-11:00pm PST","http://archive.org/download/SFGTV_20111212_063000/SFGTV_20111212_063000.mp4?t=505/535&ignore=x.mp4","mark gruberg","yes","no","medallions","other","NA","NA","yes","yes","not_coded","both","fist",NA,NA,NA,NA,NA,"pull-toward-speaker"
8896,"huge_number","WTTG_20111013_100000_Fox_Morning_News_at_6","Fox Morning News at 6 : WTTG : October 13, 2011 6:00am-7:00am EDT","http://ia600806.us.archive.org/15/items/WTTG_20111013_100000_Fox_Morning_News_at_6/WTTG_20111013_100000_Fox_Morning_News_at_6.mp4?start=1593&end=1623&ignore=x.mp4","dennis kneale","yes","no","China's economic growth","financial","12","percent","yes","yes","not_coded","left","unclassified",NA,NA,NA,NA,NA,"watch-out (later); changed-link; fist-close"
9651,"huge_number","KPIX_20121218_020000_CBS_5_Eyewitness_News_at_6PM","CBS 5 Eyewitness News at 6PM : KPIX : December 17, 2012 6:00pm-7:00pm PST","http://archive.org/download/KPIX_20121218_020000_CBS_5_Eyewitness_News_at_6PM/KPIX_20121218_020000_CBS_5_Eyewitness_News_at_6PM.mp4?t=2924/2954&ignore=x.mp4","paul deanno","yes","no","donated check to Second Harvest Food bank","financial","1e+05","NA","yes","yes","not_coded","left","open",NA,NA,NA,NA,NA,"hold-microphone"
8524,"huge_number","FOXNEWSW_20140716_170000_Happening_Now","Happening Now : FOXNEWSW : July 16, 2014 10:00am-11:01am PDT","http://archive.org/download/FOXNEWSW_20140716_170000_Happening_Now/FOXNEWSW_20140716_170000_Happening_Now.mp4?t=623/653&ignore=x.mp4","sloan gibson","yes","no","staff members","people","10000","NA","yes","yes","not_coded","right","open",NA,NA,NA,NA,NA,"hand-is-not-really-moving"
7623,"huge_number","CSPAN2_20111106_113000_Book_TV","Book TV : CSPAN2 : November 6, 2011 6:30am-7:45am EST","http://archive.org/download/CSPAN2_20111106_113000_Book_TV/CSPAN2_20111106_113000_Book_TV.mp4?t=2784/2814&ignore=x.mp4","charles mann","yes","no","enslaved indians","people","NA","NA","yes","yes","not_coded","right","open",NA,NA,NA,NA,NA,"twice"
8178,"huge_number","WETA_20130103_233000_Nightly_Business_Report","Nightly Business Report : WETA : January 3, 2013 6:30pm-7:00pm EST","http://archive.org/download/WETA_20130103_233000_Nightly_Business_Report/WETA_20130103_233000_Nightly_Business_Report.mp4?t=929/959&ignore=x.mp4","rebecca lindland","yes","no","new models of small cars","cars","NA","NA","yes","yes","not_coded","both","open",NA,NA,NA,NA,NA,"outward-expand"
5865,"huge_number","CSPAN3_20141001_210000_Politics__Public_Policy_Today","Politics & Public Policy Today : CSPAN3 : October 1, 2014 5:00pm-7:01pm EDT","http://ia601404.us.archive.org/19/items/CSPAN3_20141001_210000_Politics__Public_Policy_Today/CSPAN3_20141001_210000_Politics__Public_Policy_Today.mp4?start=5100&end=5130&ignore=x.mp4","thilo koslowski","yes","no","consumers that want new technology in cars","people","25","percent","yes","yes","not_coded","left","pinch",NA,NA,NA,NA,NA,"changed-link"
1949,"huge_number","CSPAN3_20120624_033000","CSPAN3 : June 23, 2012 11:30pm-12:00am EDT","http://ia600803.us.archive.org/22/items/CSPAN3_20120624_033000/CSPAN3_20120624_033000.mp4?start=1045&end=1075&ignore=x.mp4","andrew nogorski","yes","no","American correspondents in Europe & Germany","people","50","NA","yes","yes","not_coded","right","pinch",NA,NA,NA,NA,NA,"changed-link; difficult to classify; move-forward-a-bit"
